"Manufacturer","Model_Name","CPU","Display_Size","Operating_System","RAM","GPU","Screen_Resolution","Price_in_USD","Page","Product_Link"
"ASUS","X555QA-DM201T","INTEL","14""","WINDOWS","12GB","NVIDIA","7680 x 4320","387.88","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x555qa-dm201t-15-6-hd-amd-quad-core-a12-9720p-4gb-1tb-amd-radeon-r7-win-10-black_11057909/102313969.html"
"ASUS","X441UA-GA313T","NVIDIA","17""","WINDOWS","4GB","NVIDIA","7680 x 4320","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","A507UA-BR311T","INTEL","14""","LINUX","16GB","ARM","1280 x 720","418.36","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br311t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-star-grey_10670151/101490943.html"
"ASUS","A507UA-BR312T","INTEL","17""","WINDOWS","16GB","AMD","1280 x 720","418.36","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br312t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-icicle-gold_10669426/101489687.html"
"ASUS","A507UA-BR311T","ARM","17""","LINUX","8GB","NVIDIA","1280 x 720","418.36","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br311t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-star-grey_10670151/101490943.html"
"ASUS","A507UA-BR311T","INTEL","15.6""","WINDOWS","32GB","INTEL","3840 x 2160","418.36","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br311t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-star-grey_10670151/101490943.html"
"ASUS","A507UA-BR312T","NVIDIA","15.4""","WINDOWS","8GB","ARM","2560 x 1440","418.36","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br312t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-icicle-gold_10669426/101489687.html"
"ASUS","X441UA-GA313T","ARM","17""","LINUX","4GB","AMD","3840 x 2160","422.01","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","X441UA-GA313T","ARM","15.4""","LINUX","4GB","AMD","2560 x 1440","422.01","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","A507UA-BR312T","NVIDIA","17""","LINUX","12GB","AMD","7680 x 4320","423.18","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br312t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-icicle-gold_10669426/101489687.html"
"ASUS","A507UA-BR312T","NVIDIA","15.6""","WINDOWS","32GB","ARM","3840 x 2160","423.18","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br312t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-icicle-gold_10669426/101489687.html"
"ASUS","A507UA-BR311T","ARM","15.6""","LINUX","12GB","AMD","3840 x 2160","423.18","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br311t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-star-grey_10670151/101490943.html"
"ASUS","A507UA-BR311T","ARM","13""","WINDOWS","12GB","INTEL","3840 x 2160","423.18","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507ua-br311t-15-6-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win10-home-star-grey_10670151/101490943.html"
"ASUS","X441UA-GA313T","INTEL","17""","WINDOWS","4GB","ARM","3840 x 2160","430.27","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","X441UA-GA313T","INTEL","15.6""","LINUX","4GB","ARM","3840 x 2160","430.27","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","X441UA-GA313T","NVIDIA","15.4""","LINUX","32GB","INTEL","2560 x 1440","430.27","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ua-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-intel-hd-graphics-win-10-home-red_10597115/101326145.html"
"ASUS","X505ZA-BR301T","ARM","15.6""","WINDOWS","32GB","AMD","7680 x 4320","435.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","X505ZA-BR301T","ARM","17""","WINDOWS","32GB","AMD","2560 x 1440","435.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","A407UA-BV391T","NVIDIA","13""","WINDOWS","4GB","INTEL","1280 x 720","436.63","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv391t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-icicle-gold_10597066/101325996.html"
"ASUS","A407UA-BV390T","ARM","17""","LINUX","8GB","ARM","1920 x 1080","436.63","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv390t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-star-gray_10597080/101326011.html"
"ASUS","A407UA-BV390T","ARM","15.6""","LINUX","8GB","ARM","1920 x 1080","436.63","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv390t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-star-gray_10597080/101326011.html"
"ASUS","A407UA-BV391T","INTEL","17""","LINUX","12GB","NVIDIA","2560 x 1440","436.63","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv391t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-icicle-gold_10597066/101325996.html"
"ASUS","X505ZA-BR301T","NVIDIA","15.4""","LINUX","32GB","AMD","1920 x 1080","444.23","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","X505ZA-BR301T","ARM","15.4""","LINUX","4GB","ARM","1280 x 720","444.23","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","X505ZA-BR301T","ARM","15.4""","LINUX","4GB","INTEL","3840 x 2160","444.23","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","X505ZA-BR301T","ARM","15.4""","WINDOWS","8GB","ARM","1280 x 720","444.23","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x505za-br301t-15-6-hd-amd-ryzen-r3-2200u-4gb-1tb-amd-radeon-vega-3-win-10-dark-grey_10479009/101063032.html"
"ASUS","A407UA-BV391T","NVIDIA","15.6""","WINDOWS","16GB","NVIDIA","1920 x 1080","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv391t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-icicle-gold_10597066/101325996.html"
"ASUS","A407UA-BV390T","NVIDIA","17""","LINUX","32GB","ARM","3840 x 2160","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv390t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-star-gray_10597080/101326011.html"
"ASUS","A407UA-BV391T","INTEL","15.4""","LINUX","16GB","INTEL","1920 x 1080","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv391t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-icicle-gold_10597066/101325996.html"
"ASUS","A407UA-BV390T","NVIDIA","15.4""","WINDOWS","32GB","ARM","1280 x 720","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv390t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-star-gray_10597080/101326011.html"
"ASUS","A407UA-BV391T","INTEL","14""","WINDOWS","8GB","AMD","1280 x 720","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv391t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-icicle-gold_10597066/101325996.html"
"ASUS","A407UA-BV390T","NVIDIA","15.4""","LINUX","12GB","AMD","1920 x 1080","444.37","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407ua-bv390t-14-hd-intel-core-i3-7020u-4gb-256gb-ssd-intel-hd-graphics-windows-10-star-gray_10597080/101326011.html"
"ASUS","A456UR-GA094D","NVIDIA","13""","WINDOWS","12GB","ARM","2560 x 1440","452.04","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a456ur-ga094d-14-i5-7200u-nvidia-gt930mx-2gb-4gb-1tb-dos-notebook-white_744748/10096841.html"
"ASUS","X441UB-GA312T","INTEL","15.6""","LINUX","32GB","AMD","2560 x 1440","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga312t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-silver_11054431/102301589.html"
"ASUS","X441UB-GA313T","NVIDIA","13""","LINUX","12GB","AMD","1920 x 1080","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-red_11112555/102435033.html"
"ASUS","X441UB-GA311T","ARM","13""","WINDOWS","8GB","NVIDIA","3840 x 2160","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga311t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-black_11054425/102301582.html"
"ASUS","X441UB-GA312T","ARM","15.4""","WINDOWS","8GB","AMD","1280 x 720","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga312t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-silver_11054431/102301589.html"
"ASUS","X441UB-GA314T","NVIDIA","14""","LINUX","4GB","INTEL","2560 x 1440","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA311T","INTEL","13""","LINUX","32GB","ARM","1920 x 1080","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga311t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-black_11054425/102301582.html"
"ASUS","X441UB-GA314T","INTEL","13""","LINUX","4GB","ARM","2560 x 1440","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA313T","NVIDIA","15.6""","WINDOWS","8GB","AMD","2560 x 1440","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-red_11112555/102435033.html"
"ASUS","X441UB-GA314T","NVIDIA","14""","LINUX","4GB","INTEL","2560 x 1440","463.96","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","A407UF-BV062T","NVIDIA","15.4""","LINUX","16GB","AMD","2560 x 1440","467.61","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A407UF-BV061T","NVIDIA","17""","LINUX","16GB","ARM","3840 x 2160","467.61","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv061t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-star-grey_10597190/101326367.html"
"ASUS","X441UB-GA311T","ARM","15.4""","WINDOWS","32GB","NVIDIA","3840 x 2160","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga311t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-black_11054425/102301582.html"
"ASUS","X441UB-GA312T","ARM","17""","LINUX","16GB","INTEL","1920 x 1080","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga312t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-silver_11054431/102301589.html"
"ASUS","X441UB-GA313T","NVIDIA","14""","WINDOWS","12GB","INTEL","1280 x 720","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-red_11112555/102435033.html"
"ASUS","X441UB-GA314T","INTEL","15.6""","LINUX","32GB","ARM","2560 x 1440","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA314T","NVIDIA","15.4""","LINUX","4GB","NVIDIA","7680 x 4320","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA312T","ARM","14""","WINDOWS","8GB","ARM","7680 x 4320","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga312t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-silver_11054431/102301589.html"
"ASUS","X441UB-GA314T","ARM","13""","LINUX","4GB","AMD","3840 x 2160","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA312T","INTEL","17""","WINDOWS","12GB","INTEL","1280 x 720","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga312t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-silver_11054431/102301589.html"
"ASUS","X441UB-GA313T","ARM","15.4""","LINUX","12GB","NVIDIA","2560 x 1440","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-red_11112555/102435033.html"
"ASUS","X441UB-GA313T","ARM","13""","LINUX","16GB","AMD","1920 x 1080","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga313t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-red_11112555/102435033.html"
"ASUS","X441UB-GA311T","ARM","14""","WINDOWS","8GB","NVIDIA","1280 x 720","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga311t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-black_11054425/102301582.html"
"ASUS","X441UB-GA314T","ARM","15.6""","WINDOWS","8GB","ARM","3840 x 2160","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga314t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-white_11112706/102435446.html"
"ASUS","X441UB-GA311T","INTEL","15.4""","WINDOWS","4GB","AMD","1920 x 1080","472.58","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-x441ub-ga311t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx110-win-10-black_11054425/102301582.html"
"ASUS","A407UF-BV061T","ARM","13""","LINUX","4GB","ARM","1920 x 1080","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv061t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-star-grey_10597190/101326367.html"
"ASUS","A407UF-BV062T","ARM","14""","LINUX","16GB","INTEL","3840 x 2160","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A507UF-BR312T","ARM","14""","LINUX","4GB","NVIDIA","1280 x 720","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br312t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-icicle-gold_10670348/101491288.html"
"ASUS","A407UF-BV061T","ARM","13""","WINDOWS","4GB","ARM","1920 x 1080","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv061t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-star-grey_10597190/101326367.html"
"ASUS","A507UF-BR312T","ARM","15.4""","LINUX","8GB","NVIDIA","1280 x 720","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br312t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-icicle-gold_10670348/101491288.html"
"ASUS","A407UF-BV062T","INTEL","14""","WINDOWS","4GB","AMD","1280 x 720","474.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A507UF-BR311T","INTEL","14""","WINDOWS","8GB","AMD","7680 x 4320","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br311t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-star-grey_10670303/101491186.html"
"ASUS","A407UF-BV062T","INTEL","13""","LINUX","8GB","ARM","1920 x 1080","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A507UF-BR312T","ARM","15.4""","LINUX","8GB","ARM","2560 x 1440","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br312t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-icicle-gold_10670348/101491288.html"
"ASUS","A407UF-BV062T","INTEL","15.4""","WINDOWS","4GB","INTEL","2560 x 1440","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A407UF-BV062T","ARM","13""","WINDOWS","12GB","NVIDIA","1920 x 1080","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv062t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-icicle-gold_10597191/101326369.html"
"ASUS","A407UF-BV061T","NVIDIA","17""","WINDOWS","32GB","NVIDIA","1280 x 720","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv061t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-star-grey_10597190/101326367.html"
"ASUS","A507UF-BR311T","ARM","17""","LINUX","4GB","INTEL","2560 x 1440","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br311t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-star-grey_10670303/101491186.html"
"ASUS","A507UF-BR312T","ARM","15.6""","LINUX","12GB","ARM","2560 x 1440","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br312t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-icicle-gold_10670348/101491288.html"
"ASUS","A507UF-BR311T","ARM","17""","LINUX","4GB","NVIDIA","1920 x 1080","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br311t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-star-grey_10670303/101491186.html"
"ASUS","A407UF-BV061T","ARM","13""","WINDOWS","16GB","ARM","2560 x 1440","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a407uf-bv061t-14-hd-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-star-grey_10597190/101326367.html"
"ASUS","A507UF-BR312T","NVIDIA","15.4""","WINDOWS","8GB","ARM","7680 x 4320","479.59","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/asus-a507uf-br312t-15-6-intel-core-i3-7020u-4gb-1tb-nvidia-geforce-mx130-2gb-win-10-home-icicle-gold_10670348/101491288.html"
